measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,4743,European Union,3,Both,8,15 to 19,5,Years,2006,64.42703513247419,64.4515690374876,64.40255458122799
26,Life expectancy,4743,European Union,3,Both,9,20 to 24,5,Years,2006,59.54526085325148,59.56935402916528,59.52102970142024
26,Life expectancy,4743,European Union,3,Both,10,25 to 29,5,Years,2006,54.70083794875873,54.724609725199095,54.67693116643861
26,Life expectancy,4743,European Union,3,Both,11,30 to 34,5,Years,2006,49.85561854884429,49.87918770908377,49.83200224833399
26,Life expectancy,4743,European Union,3,Both,12,35 to 39,5,Years,2006,45.0321482669154,45.055489969972555,45.00886828836988
26,Life expectancy,4743,European Union,3,Both,13,40 to 44,5,Years,2006,40.26623656041298,40.28924839306931,40.24333084217532
26,Life expectancy,4743,European Union,3,Both,14,45 to 49,5,Years,2006,35.59679758348678,35.6192310614126,35.57448782607124
26,Life expectancy,4743,European Union,3,Both,15,50 to 54,5,Years,2006,31.098062005332235,31.119347224906235,31.076721848452348
26,Life expectancy,4743,European Union,3,Both,16,55 to 59,5,Years,2006,26.794186597631136,26.813643562669366,26.77435183553507
26,Life expectancy,4743,European Union,3,Both,17,60 to 64,5,Years,2006,22.653596707133154,22.671113650115426,22.635737037431923
26,Life expectancy,4743,European Union,3,Both,18,65 to 69,5,Years,2006,18.7131060778593,18.72854407978405,18.69770181554217
26,Life expectancy,4743,European Union,3,Both,19,70 to 74,5,Years,2006,14.986963765751891,15.000419269385608,14.973863955007854
26,Life expectancy,4743,European Union,3,Both,20,75 to 79,5,Years,2006,11.588713278924665,11.599251544412745,11.577851988555228
26,Life expectancy,4743,European Union,3,Both,30,80 to 84,5,Years,2006,8.637691754085639,8.645701842299085,8.629433502147162
26,Life expectancy,4743,European Union,3,Both,31,85 to 89,5,Years,2006,6.235762445732289,6.241787614084874,6.230060257106019
26,Life expectancy,4743,European Union,3,Both,32,90 to 94,5,Years,2006,4.376914800914,4.381079912003597,4.372752999097563
26,Life expectancy,4743,European Union,3,Both,8,15 to 19,5,Years,2012,65.67375353597116,65.70268612922881,65.64695169279962
26,Life expectancy,4743,European Union,3,Both,9,20 to 24,5,Years,2012,60.76373181492531,60.79241814171951,60.737107929375405
26,Life expectancy,4743,European Union,3,Both,10,25 to 29,5,Years,2012,55.890411659243746,55.91883432191733,55.86405512480853
26,Life expectancy,4743,European Union,3,Both,11,30 to 34,5,Years,2012,51.02153109261252,51.04972033766612,50.995421149309614
26,Life expectancy,4743,European Union,3,Both,12,35 to 39,5,Years,2012,46.17293501268979,46.20083265671409,46.14710916232618
26,Life expectancy,4743,European Union,3,Both,13,40 to 44,5,Years,2012,41.37020703717006,41.397644518292836,41.34486710317408
26,Life expectancy,4743,European Union,3,Both,14,45 to 49,5,Years,2012,36.652783080665856,36.67948180475222,36.628238222045944
26,Life expectancy,4743,European Union,3,Both,15,50 to 54,5,Years,2012,32.06089984756607,32.08651702651246,32.03751159496296
26,Life expectancy,4743,European Union,3,Both,16,55 to 59,5,Years,2012,27.66427744760838,27.688353583847558,27.642107749044122
26,Life expectancy,4743,European Union,3,Both,17,60 to 64,5,Years,2012,23.48494719539495,23.50649258522371,23.464978618722036
26,Life expectancy,4743,European Union,3,Both,18,65 to 69,5,Years,2012,19.497795414919157,19.51708899706527,19.480220784727933
26,Life expectancy,4743,European Union,3,Both,19,70 to 74,5,Years,2012,15.709928192956724,15.7269189215158,15.694855477676152
26,Life expectancy,4743,European Union,3,Both,20,75 to 79,5,Years,2012,12.17185722046968,12.18602160227594,12.159108542511511
26,Life expectancy,4743,European Union,3,Both,30,80 to 84,5,Years,2012,9.014799261699086,9.02607348514716,9.004461903007984
26,Life expectancy,4743,European Union,3,Both,31,85 to 89,5,Years,2012,6.441095553542563,6.449751788330701,6.433093276390079
26,Life expectancy,4743,European Union,3,Both,32,90 to 94,5,Years,2012,4.5492397831031415,4.555250309271613,4.543552716332533
26,Life expectancy,44587,African Union,3,Both,10,25 to 29,5,Years,2018,46.52256349031437,47.52759400578338,45.399101771128535
26,Life expectancy,44587,African Union,3,Both,11,30 to 34,5,Years,2018,42.01190005583907,42.98224994065085,40.942892701333065
26,Life expectancy,44587,African Union,3,Both,12,35 to 39,5,Years,2018,37.60646891262399,38.53150259538085,36.57323174353785
26,Life expectancy,44587,African Union,3,Both,13,40 to 44,5,Years,2018,33.31854158007112,34.19966552322957,32.32992377103054
26,Life expectancy,44587,African Union,3,Both,14,45 to 49,5,Years,2018,29.175950772095224,29.99394206544269,28.263249559782324
26,Life expectancy,44587,African Union,3,Both,15,50 to 54,5,Years,2018,25.171626809159147,25.935435926737583,24.33944397499841
26,Life expectancy,44587,African Union,3,Both,16,55 to 59,5,Years,2018,21.368054744293424,22.053843948647486,20.63759589196234
26,Life expectancy,44587,African Union,3,Both,17,60 to 64,5,Years,2018,17.772875155974962,18.357791032484993,17.158376116797264
26,Life expectancy,44587,African Union,3,Both,18,65 to 69,5,Years,2018,14.514226221524028,14.993636700223004,14.015854426907282
26,Life expectancy,44587,African Union,3,Both,19,70 to 74,5,Years,2018,11.559102062069535,11.931924262626229,11.167639338157645
26,Life expectancy,44587,African Union,3,Both,20,75 to 79,5,Years,2018,9.00591240391292,9.287302478390249,8.714412827414144
26,Life expectancy,44587,African Union,3,Both,30,80 to 84,5,Years,2018,6.830090185239276,7.035058051978106,6.608979498035029
26,Life expectancy,44587,African Union,3,Both,31,85 to 89,5,Years,2018,5.141298008077325,5.299777336031735,4.967895751985725
26,Life expectancy,44587,African Union,3,Both,32,90 to 94,5,Years,2018,3.924467186627532,4.0500026121225465,3.7991892196225776
26,Life expectancy,44590,Four World Regions,3,Both,8,15 to 19,5,Years,2018,61.57387820638407,62.139325177014804,61.05151277515802
26,Life expectancy,44590,Four World Regions,3,Both,9,20 to 24,5,Years,2018,56.81681048359077,57.3667457223402,56.3037793190432
26,Life expectancy,44590,Four World Regions,3,Both,10,25 to 29,5,Years,2018,52.13291515458431,52.66590974117915,51.62840322241729
26,Life expectancy,44590,Four World Regions,3,Both,11,30 to 34,5,Years,2018,47.45852796599194,47.97816180866101,46.96309043554452
26,Life expectancy,44590,Four World Regions,3,Both,12,35 to 39,5,Years,2018,42.83002528960638,43.330243102850496,42.346202243853504
26,Life expectancy,44590,Four World Regions,3,Both,13,40 to 44,5,Years,2018,38.273901739303625,38.75087500662352,37.803733636642846
26,Life expectancy,44590,Four World Regions,3,Both,14,45 to 49,5,Years,2018,33.80437964978247,34.25634864443702,33.36273958859064
26,Life expectancy,44590,Four World Regions,3,Both,15,50 to 54,5,Years,2018,29.428784437070835,29.851775159041445,29.022373883482167
26,Life expectancy,44590,Four World Regions,3,Both,16,55 to 59,5,Years,2018,25.23303565454633,25.61908060890245,24.86554170722249
26,Life expectancy,44590,Four World Regions,3,Both,17,60 to 64,5,Years,2018,21.259835722316048,21.613541942016635,20.936071919576907
26,Life expectancy,44590,Four World Regions,3,Both,18,65 to 69,5,Years,2018,17.544029199437468,17.85941799607378,17.263385445689536
26,Life expectancy,44590,Four World Regions,3,Both,19,70 to 74,5,Years,2018,14.08731510406163,14.351613167441736,13.848579035749044
26,Life expectancy,44590,Four World Regions,3,Both,20,75 to 79,5,Years,2018,11.015403371670164,11.222998921982132,10.824489560420604
26,Life expectancy,44590,Four World Regions,3,Both,30,80 to 84,5,Years,2018,8.335977169128213,8.488029454400259,8.189638164944986
26,Life expectancy,44590,Four World Regions,3,Both,31,85 to 89,5,Years,2018,6.264396433872077,6.368012264601212,6.167805651808442
26,Life expectancy,44590,Four World Regions,3,Both,32,90 to 94,5,Years,2018,4.69849164993839,4.76261930962279,4.637782476274016
26,Life expectancy,44591,World Bank Income Levels,3,Both,8,15 to 19,5,Years,2018,61.57725279345373,62.14308972175647,61.05363025185998
26,Life expectancy,44591,World Bank Income Levels,3,Both,9,20 to 24,5,Years,2018,56.820155557661124,57.37048331872517,56.306295946281814
26,Life expectancy,44591,World Bank Income Levels,3,Both,10,25 to 29,5,Years,2018,52.1362723474593,52.66965721107435,51.63094298873883
26,Life expectancy,44591,World Bank Income Levels,3,Both,11,30 to 34,5,Years,2018,47.46190098730149,47.98199907768286,46.96624667030953
26,Life expectancy,44591,World Bank Income Levels,3,Both,12,35 to 39,5,Years,2018,42.83339889030832,43.334013498552125,42.34847879384407
26,Life expectancy,44591,World Bank Income Levels,3,Both,13,40 to 44,5,Years,2018,38.27725821681535,38.754595282435155,37.80593765191211
26,Life expectancy,44591,World Bank Income Levels,3,Both,14,45 to 49,5,Years,2018,33.8077019599907,34.26091010790934,33.365847305228634
26,Life expectancy,44591,World Bank Income Levels,3,Both,15,50 to 54,5,Years,2018,29.432088226322207,29.855416209648105,29.025462347067258
26,Life expectancy,44591,World Bank Income Levels,3,Both,16,55 to 59,5,Years,2018,25.236316306289982,25.622228731679776,24.86836777492453
26,Life expectancy,44591,World Bank Income Levels,3,Both,17,60 to 64,5,Years,2018,21.263072228900793,21.617202401000867,20.939840493742317
26,Life expectancy,44591,World Bank Income Levels,3,Both,18,65 to 69,5,Years,2018,17.547175815488874,17.862968812941414,17.267032112070115
26,Life expectancy,44591,World Bank Income Levels,3,Both,19,70 to 74,5,Years,2018,14.090322343633668,14.355009594131838,13.85116880891531
26,Life expectancy,44591,World Bank Income Levels,3,Both,20,75 to 79,5,Years,2018,11.018114681341736,11.226412432780931,10.827313778885099
26,Life expectancy,44591,World Bank Income Levels,3,Both,30,80 to 84,5,Years,2018,8.338430919580421,8.490353863380466,8.192011865654719
26,Life expectancy,44591,World Bank Income Levels,3,Both,31,85 to 89,5,Years,2018,6.266621350483077,6.370667574659257,6.169558415011717
26,Life expectancy,44591,World Bank Income Levels,3,Both,32,90 to 94,5,Years,2018,4.7006554122360855,4.76560207122106,4.639686920502545
26,Life expectancy,44634,High-middle SDI,3,Both,8,15 to 19,5,Years,2018,63.29747804668049,63.83968185378164,62.729648629379
26,Life expectancy,44634,High-middle SDI,3,Both,9,20 to 24,5,Years,2018,58.44393511830604,58.982018843039135,57.88167875343467
26,Life expectancy,44634,High-middle SDI,3,Both,10,25 to 29,5,Years,2018,53.64527154729991,54.1775613118324,53.0889246282758
26,Life expectancy,44634,High-middle SDI,3,Both,11,30 to 34,5,Years,2018,48.860357501079285,49.38687009019568,48.30991839502687
26,Life expectancy,44634,High-middle SDI,3,Both,12,35 to 39,5,Years,2018,44.13511384800185,44.655628434392,43.593798740394014
26,Life expectancy,44634,High-middle SDI,3,Both,13,40 to 44,5,Years,2018,39.47885168279138,39.9918422356088,38.95052876390036
26,Life expectancy,44634,High-middle SDI,3,Both,14,45 to 49,5,Years,2018,34.89029616290305,35.389199482993455,34.37789761581978
26,Life expectancy,44634,High-middle SDI,3,Both,15,50 to 54,5,Years,2018,30.384821083222043,30.859420335278045,29.89921239206271
26,Life expectancy,44634,High-middle SDI,3,Both,16,55 to 59,5,Years,2018,26.033549571799025,26.472019372337815,25.585196062116136
26,Life expectancy,44634,High-middle SDI,3,Both,17,60 to 64,5,Years,2018,21.917613207598823,22.316957704663984,21.510320096417185
26,Life expectancy,44634,High-middle SDI,3,Both,18,65 to 69,5,Years,2018,18.04591026067291,18.395532295240088,17.69579386891602
26,Life expectancy,44634,High-middle SDI,3,Both,19,70 to 74,5,Years,2018,14.419320233062173,14.71960103000106,14.114048043679942
26,Life expectancy,44634,High-middle SDI,3,Both,20,75 to 79,5,Years,2018,11.136434756071656,11.374270215704422,10.887636558595405
26,Life expectancy,44634,High-middle SDI,3,Both,30,80 to 84,5,Years,2018,8.29649324377121,8.479926185817014,8.100311273823525
26,Life expectancy,44634,High-middle SDI,3,Both,31,85 to 89,5,Years,2018,6.042780274291491,6.180264807082648,5.898743934437885
26,Life expectancy,44634,High-middle SDI,3,Both,32,90 to 94,5,Years,2018,4.419266621756797,4.510926591629509,4.322902240709586
26,Life expectancy,44635,High SDI,3,Both,8,15 to 19,5,Years,2018,66.61405415979583,66.78014223904755,66.42856421399006
26,Life expectancy,44635,High SDI,3,Both,9,20 to 24,5,Years,2018,61.730598431313446,61.89485957940887,61.547594790681764
26,Life expectancy,44635,High SDI,3,Both,10,25 to 29,5,Years,2018,56.91100995977126,57.072259068540866,56.7328817914552
26,Life expectancy,44635,High SDI,3,Both,11,30 to 34,5,Years,2018,52.110336095841525,52.26758335330545,51.93583911864287
26,Life expectancy,44635,High SDI,3,Both,12,35 to 39,5,Years,2018,47.33325729348579,47.48429376300257,47.16730188278793
26,Life expectancy,44635,High SDI,3,Both,13,40 to 44,5,Years,2018,42.58667333421567,42.7292370207818,42.42989112560644
26,Life expectancy,44635,High SDI,3,Both,14,45 to 49,5,Years,2018,37.91021368455215,38.04222006717004,37.76694913852866
26,Life expectancy,44635,High SDI,3,Both,15,50 to 54,5,Years,2018,33.32847851248125,33.45204379001279,33.193098737110255
26,Life expectancy,44635,High SDI,3,Both,16,55 to 59,5,Years,2018,28.899323823723492,29.01254197279163,28.776097190158826
26,Life expectancy,44635,High SDI,3,Both,17,60 to 64,5,Years,2018,24.648572220490323,24.751225081433994,24.537329031952403
26,Life expectancy,44635,High SDI,3,Both,18,65 to 69,5,Years,2018,20.605167311018207,20.694386330806477,20.50775848898847
26,Life expectancy,44635,High SDI,3,Both,19,70 to 74,5,Years,2018,16.738722038593103,16.813741914909155,16.65676907985827
26,Life expectancy,44635,High SDI,3,Both,20,75 to 79,5,Years,2018,13.169406915579765,13.232943771771978,13.101025256042135
26,Life expectancy,44635,High SDI,3,Both,30,80 to 84,5,Years,2018,9.930275251871212,9.98064891555127,9.876060665799685
26,Life expectancy,44635,High SDI,3,Both,31,85 to 89,5,Years,2018,7.252878959589869,7.291460060073355,7.2122880697849485
26,Life expectancy,44635,High SDI,3,Both,32,90 to 94,5,Years,2018,5.17735179558736,5.203703334106586,5.15087848898653
26,Life expectancy,44636,Low-middle SDI,3,Both,8,15 to 19,5,Years,2018,57.975074438602945,58.76346169503514,57.15256559342655
26,Life expectancy,44636,Low-middle SDI,3,Both,9,20 to 24,5,Years,2018,53.25034744112892,54.02597882621464,52.442189170375244
26,Life expectancy,44636,Low-middle SDI,3,Both,10,25 to 29,5,Years,2018,48.615842584677104,49.37347182453546,47.82089887982109
26,Life expectancy,44636,Low-middle SDI,3,Both,11,30 to 34,5,Years,2018,44.00491552103059,44.744085712048076,43.2299553652281
26,Life expectancy,44636,Low-middle SDI,3,Both,12,35 to 39,5,Years,2018,39.458979533417214,40.17549205884367,38.71131859246072
26,Life expectancy,44636,Low-middle SDI,3,Both,13,40 to 44,5,Years,2018,35.00318433339361,35.69833074580073,34.2811552928328
26,Life expectancy,44636,Low-middle SDI,3,Both,14,45 to 49,5,Years,2018,30.65627187877488,31.323544250880904,29.96721324962503
26,Life expectancy,44636,Low-middle SDI,3,Both,15,50 to 54,5,Years,2018,26.4309922269163,27.057063721506022,25.787894724535665
26,Life expectancy,44636,Low-middle SDI,3,Both,16,55 to 59,5,Years,2018,22.45954560836317,23.02242550415882,21.872436500564834
26,Life expectancy,44636,Low-middle SDI,3,Both,17,60 to 64,5,Years,2018,18.737810974126656,19.234158913327885,18.21653732641703
26,Life expectancy,44636,Low-middle SDI,3,Both,18,65 to 69,5,Years,2018,15.310292356615635,15.734538554682953,14.859821636858829
26,Life expectancy,44636,Low-middle SDI,3,Both,19,70 to 74,5,Years,2018,12.191164816376661,12.545772951912683,11.818709463035782
26,Life expectancy,44636,Low-middle SDI,3,Both,20,75 to 79,5,Years,2018,9.478434387443354,9.769426047449798,9.179189179223751
26,Life expectancy,44636,Low-middle SDI,3,Both,30,80 to 84,5,Years,2018,7.12448235759951,7.348848885538865,6.900873251311549
26,Life expectancy,44636,Low-middle SDI,3,Both,31,85 to 89,5,Years,2018,5.5449114524278595,5.705011173473248,5.376476742531534
26,Life expectancy,44636,Low-middle SDI,3,Both,32,90 to 94,5,Years,2018,4.2762576650013395,4.386053657860272,4.168388431364469
